,ts,id.orig_h,duration,orig_bytes,resp_bytes,missed_bytes,orig_pkts,orig_ip_bytes,resp_pkts,resp_ip_bytes,label,proto_icmp,proto_tcp,proto_udp,conn_state_OTH,conn_state_REJ,conn_state_RSTO,conn_state_RSTOS0,conn_state_RSTR,conn_state_RSTRH,conn_state_S0,conn_state_S1,conn_state_S2,conn_state_S3,conn_state_SF,conn_state_SH,conn_state_SHR
0,1540469831,192.168.1.132,0.003497,0,0,0,5,212,3,144,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
1,1540469831,192.168.1.132,0.036724,34,311,0,1,62,1,339,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
2,1540469418,192.168.1.132,384.518261,15072,0,0,48,16416,0,0,Benign,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
3,1540470082,192.168.1.132,0.270332,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4,1540470187,192.168.1.132,0.111429,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,1540470355,192.168.1.132,0.114433,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6,1540470420,192.168.1.132,0.016984,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
7,1540470731,192.168.1.132,0.003497,0,0,0,4,172,2,92,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
8,1540470731,192.168.1.132,0.040227,34,311,0,1,62,1,339,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
9,1540471111,192.168.1.132,0.270346,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
10,1540471275,192.168.1.132,0.109684,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
11,1540471418,192.168.1.132,0.114426,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
12,1540471494,192.168.1.132,0.01698,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
13,1540469863,192.168.1.132,1633.04433,60288,0,0,192,65664,0,0,Benign,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
14,1540471632,192.168.1.132,0.003498,0,0,0,4,172,2,92,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
15,1540471631,192.168.1.132,0.183145,34,311,0,1,62,1,339,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
16,1540472192,192.168.1.132,0.272344,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
17,1540472315,192.168.1.132,0.109436,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
18,1540471557,192.168.1.132,766.04856,28260,0,0,90,30780,0,0,Benign,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
19,1540472385,192.168.1.132,50.851218,3768,0,0,12,4104,0,0,Benign,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
20,1540472525,192.168.1.132,0.088446,1847,1539,0,7,2139,7,1823,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
21,1540472525,192.168.1.132,0.109187,1847,791,0,6,2099,6,1035,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
22,1540472525,192.168.1.132,0.050455,37,179,0,1,65,1,207,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
23,1540472525,192.168.1.132,0.003998,37,442,0,1,65,1,470,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
24,1540472525,192.168.1.132,0.000499,37,100,0,1,65,1,128,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
25,1540472525,192.168.1.132,0.0005,37,132,0,1,65,1,160,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
26,1540472532,192.168.1.132,0.003499,0,0,0,4,172,3,132,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
27,1540472532,192.168.1.132,0.04621,34,297,0,1,62,1,325,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
28,1540472494,192.168.1.132,0.114417,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
29,1540472539,192.168.1.132,0.017238,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
30,1540472502,192.168.1.132,50.868027,3768,0,0,12,4104,0,0,Benign,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
31,1540473275,192.168.1.132,0.269349,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
32,1540473432,192.168.1.132,0.003495,0,0,0,5,212,3,144,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
33,1540473432,192.168.1.132,0.036214,34,311,0,1,62,1,339,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
34,1540472614,192.168.1.132,1480.810378,52752,0,0,168,57456,0,0,Benign,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
35,1540474332,192.168.1.132,0.003496,0,0,0,4,172,2,92,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
36,1540474332,192.168.1.132,0.200137,34,297,0,1,62,1,325,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
37,1540474467,192.168.1.132,0.109694,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
38,1540474595,192.168.1.132,0.116179,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
39,1540474660,192.168.1.132,0.016732,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
40,1540475232,192.168.1.132,3.000292,0,0,0,6,276,2,92,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
41,1540475232,192.168.1.132,0.119679,34,297,0,1,62,1,325,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
42,1540474155,192.168.1.132,1032.879228,37680,0,0,120,41040,0,0,Benign,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
43,1540475249,192.168.1.132,50.83058,3768,0,0,12,4104,0,0,Benign,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
44,1540475357,192.168.1.132,0.270102,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
45,1540475360,192.168.1.132,322.370929,13188,0,0,42,14364,0,0,Benign,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
46,1540476125,192.168.1.132,0.089448,1847,1539,0,7,2151,7,1831,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
47,1540476125,192.168.1.132,0.114934,1847,791,0,6,2099,6,1035,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
48,1540476125,192.168.1.132,0.180398,37,179,0,1,65,1,207,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
49,1540476125,192.168.1.132,0.003752,37,442,0,1,65,1,470,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
50,1540476125,192.168.1.132,0.000499,37,100,0,1,65,1,128,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
51,1540476125,192.168.1.132,0.00075,37,132,0,1,65,1,160,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
52,1540476135,192.168.1.132,0.003496,0,0,0,4,172,2,92,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
53,1540476135,192.168.1.132,0.061961,34,311,0,1,62,1,339,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
54,1540476615,192.168.1.132,0.109678,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
55,1540476758,192.168.1.132,0.114433,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
56,1540476804,192.168.1.132,0.016723,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
57,1540477035,192.168.1.132,0.003248,0,0,0,4,172,2,92,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
58,1540477035,192.168.1.132,0.042224,34,297,0,1,62,1,325,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
59,1540475745,192.168.1.132,1643.646987,58404,0,0,186,63612,0,0,Benign,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
60,1540477474,192.168.1.132,0.269861,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
61,1540477502,192.168.1.132,109.999279,5652,0,0,18,6156,0,0,Benign,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
62,1540477935,192.168.1.132,0.003497,0,0,0,5,212,3,144,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
63,1540477935,192.168.1.132,0.03498,34,297,0,1,62,1,325,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
64,1540478672,192.168.1.132,0.109194,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
65,1540478835,192.168.1.132,0.003498,0,0,0,4,172,2,92,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
66,1540478835,192.168.1.132,0.107433,34,297,0,1,62,1,325,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
67,1540478898,192.168.1.132,0.016983,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
68,1540478910,192.168.1.132,0.114429,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
69,1540479532,192.168.1.132,0.269841,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
70,1540479725,192.168.1.132,0.093946,1847,1539,0,7,2151,7,1831,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
71,1540479725,192.168.1.132,0.126426,1847,791,0,6,2099,6,1035,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,1540479725,192.168.1.132,0.039463,37,179,0,1,65,1,207,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
73,1540479725,192.168.1.132,0.00425,37,442,0,1,65,1,470,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
74,1540479725,192.168.1.132,0.000499,37,100,0,1,65,1,128,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
75,1540479725,192.168.1.132,0.0005,37,132,0,1,65,1,160,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
76,1540479735,192.168.1.132,0.00325,0,0,0,4,172,3,132,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
77,1540479735,192.168.1.132,0.046721,34,297,0,1,62,1,325,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
78,1540480635,192.168.1.132,0.003745,0,0,0,4,172,3,132,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
79,1540480635,192.168.1.132,0.051225,34,297,0,1,62,1,325,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
80,1540480739,192.168.1.132,0.10968,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
81,1540480975,192.168.1.132,0.01699,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
82,1540481065,192.168.1.132,0.114424,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
83,1540481535,192.168.1.132,0.003247,0,0,0,5,212,3,144,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
84,1540481535,192.168.1.132,0.04047,34,297,0,1,62,1,325,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
85,1540481639,192.168.1.132,0.272601,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
86,1540482436,192.168.1.132,0.003501,0,0,0,4,172,3,132,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
87,1540482435,192.168.1.132,0.196634,34,297,0,1,62,1,325,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
88,1540482803,192.168.1.132,0.109685,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
89,1540483123,192.168.1.132,0.016989,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
90,1540483151,192.168.1.132,0.114182,48,48,0,1,76,1,76,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
91,1540483325,192.168.1.132,0.094447,1847,1539,0,7,2139,7,1823,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
92,1540483325,192.168.1.132,0.113685,1847,791,0,6,2099,6,1043,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
93,1540483327,192.168.1.132,0.210379,1595,177,0,8,1927,7,469,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
94,1540483325,192.168.1.132,0.200631,37,179,0,1,65,1,207,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
95,1540483325,192.168.1.132,0.004,37,442,0,1,65,1,470,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
96,1540483325,192.168.1.132,0.0005,37,100,0,1,65,1,128,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
97,1540483325,192.168.1.132,0.00075,37,132,0,1,65,1,160,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
98,1540483327,192.168.1.132,0.197378,41,124,0,1,69,1,152,Benign,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
99,1540483336,192.168.1.132,0.003497,0,0,0,4,172,2,92,Benign,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
